Accession,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Length,Nuc_Completeness,Genotype,Geo_Location,USA,Host,Isolation_Source,Collection_Date
OP401714,2022-09-09,BA.5.2.22,4.3.1/1.23.1/v0.1.12/0.3.19,true,WA-CDC-LC0866402,Severe acute respiratory syndrome-related coronavirus,29720,complete,,USA: Washington,WA,Homo sapiens,oronasopharynx,2022-08-24
OM227044,2022-01-11,BA.1.15,4.3.1/1.23.1/v0.1.12/0.3.19,true,NC-CDC-LC0449749,Severe acute respiratory syndrome-related coronavirus,29750,complete,,USA: North Carolina,NC,Homo sapiens,oronasopharynx,2021-12-29
OM944952,2022-03-09,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-STM-U8RD77QNU,Severe acute respiratory syndrome-related coronavirus,29873,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-02-23
OM360812,2022-01-24,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CT-CDC-LC0465951,Severe acute respiratory syndrome-related coronavirus,29717,complete,,USA: Connecticut,CT,Homo sapiens,oronasopharynx,2022-01-05
OP858061,2022-11-18,BU.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,IN-CDC-QDX43293545,Severe acute respiratory syndrome-related coronavirus,29715,complete,,USA: Indiana,IN,Homo sapiens,oronasopharynx,2022-11-01
ON489389,2022-05-11,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NC-CDC-QDX36219127,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA: North Carolina,NC,Homo sapiens,oronasopharynx,2022-04-20
OM120210,2022-01-04,AY.3,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-FG-216971,Severe acute respiratory syndrome-related coronavirus,29812,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2021-12-24
OM199526,2022-01-10,AY.25,4.3.1/1.23.1/v0.1.12/0.3.19,true,NC-CDC-ASC210639936,Severe acute respiratory syndrome-related coronavirus,29810,complete,,USA: North Carolina,NC,Homo sapiens,,2021-12-23
OQ400947,2023-02-07,BQ.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,,SC-COVID23-0100,Severe acute respiratory syndrome-related coronavirus,29715,complete,,"USA: SC, ORANGEBURG",SC,Homo sapiens,oronasopharynx,2023-01-25
OM339580,2022-01-21,BA.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-LACPHL-AF06086,Severe acute respiratory syndrome-related coronavirus,29684,complete,,"USA: California, Los Angees County",CA,Homo sapiens,,2021-12-24
OQ347725,2023-01-30,BQ.1.1.69,4.3.1/1.23.1/v0.1.12/0.3.19,true,NY-CDC-QDX45593451,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: New York,NY,Homo sapiens,oronasopharynx,2023-01-13
MT642126,2020-06-19,A.1,4.3.1/1.23.1/v0.1.12/0.3.19,,WA-S1094,Severe acute respiratory syndrome-related coronavirus,29856,complete,,"USA: Washington, Yakima County",WA,Homo sapiens,,2020-05-01
OM949089,2022-03-09,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,IN-CDC-QDX34165146,Severe acute respiratory syndrome-related coronavirus,29747,complete,,USA: Indiana,IN,Homo sapiens,oronasopharynx,2022-02-16
MW905686,2021-04-12,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,MO-CDC-ASC210013705,Severe acute respiratory syndrome-related coronavirus,29797,complete,,USA: Missouri,MO,Homo sapiens,,2021-03-21
OP234884,2022-08-16,BA.5.5,4.3.1/1.23.1/v0.1.12/0.3.19,true,UT-UPHL-220806468402,Severe acute respiratory syndrome-related coronavirus,29761,complete,,USA,,Homo sapiens,,2022-07-27
ON094814,2022-03-29,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,MA-Broad-CRSP_DJENBZ7SMDSBPRYW,Severe acute respiratory syndrome-related coronavirus,29804,complete,,USA: Massachusetts,MA,Homo sapiens,,2022-03-20
OP960838,2022-12-06,BA.5.2.59,4.3.1/1.23.1/v0.1.12/0.3.19,true,NC-CDC-QDX43915456,Severe acute respiratory syndrome-related coronavirus,29709,complete,,USA: North Carolina,NC,Homo sapiens,oronasopharynx,2022-11-20
OL922264,2021-12-20,AY.103,4.3.1/1.23.1/v0.1.12/0.3.19,true,RI-CDC-ASC210397014,Severe acute respiratory syndrome-related coronavirus,29823,complete,,USA: Rhode Island,RI,Homo sapiens,,2021-11-11
MZ453810,2021-06-28,B.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,,MN-UMGC-927,Severe acute respiratory syndrome-related coronavirus,29782,complete,,USA: Minnesota,MN,Homo sapiens,,2021-03-30
OL775941,2021-12-09,AY.103,4.3.1/1.23.1/v0.1.12/0.3.19,true,PA-CDC-ASC210394628,Severe acute respiratory syndrome-related coronavirus,29810,complete,,USA: Pennsylvania,PA,Homo sapiens,,2021-11-10
OK512113,2021-10-15,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,VA-CDC-LC0072648,Severe acute respiratory syndrome-related coronavirus,29761,complete,,USA: Virginia,VA,Homo sapiens,oronasopharynx,2021-06-10
OR301135,2023-07-20,B.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,,Mayo11877,Severe acute respiratory syndrome-related coronavirus,29821,complete,,USA,,Homo sapiens,,2021-02-04
ON780262,2022-06-16,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-STM-6A9KAARFN,Severe acute respiratory syndrome-related coronavirus,29848,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-06-04
OP180187,2022-08-09,BA.5.6,4.3.1/1.23.1/v0.1.12/0.3.19,,M00605220-F1-1,Severe acute respiratory syndrome-related coronavirus,29757,complete,,USA: Arkansas,AR,Homo sapiens,oronasopharynx,2022-07-28
MW738411,2021-03-14,B.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,,CA-CZB-24089,Severe acute respiratory syndrome-related coronavirus,29808,complete,,USA: CA,CA,Homo sapiens,,2021-01-04
MZ685334,2021-08-03,B.1.1.519,4.3.1/1.23.1/v0.1.12/0.3.19,,ALTCOV-WPH3RTJUFJYYTPCO,Severe acute respiratory syndrome-related coronavirus,29826,complete,,USA,,Homo sapiens,,2021-05-12
OP790276,2022-11-08,BQ.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-QDX42813940,Severe acute respiratory syndrome-related coronavirus,29715,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2022-10-23
OM102022,2022-01-03,AY.39,4.3.1/1.23.1/v0.1.12/0.3.19,true,MA-CDC-STM-36H8D9W6F,Severe acute respiratory syndrome-related coronavirus,29890,complete,,USA: Massachusetts,MA,Homo sapiens,oronasopharynx,2021-12-14
ON083939,2022-03-28,BA.1.20,4.3.1/1.23.1/v0.1.12/0.3.19,true,OR-CDC-QDX34746789,Severe acute respiratory syndrome-related coronavirus,29747,complete,,USA: Oregon,OR,Homo sapiens,oronasopharynx,2022-03-09
OM853377,2022-02-28,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-ASC210555997,Severe acute respiratory syndrome-related coronavirus,29799,complete,,USA: California,CA,Homo sapiens,,2022-02-13
MZ371113,2021-06-10,B.1.429,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-LC0065327,Severe acute respiratory syndrome-related coronavirus,29684,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-05-22
OQ174085,2023-01-04,BQ.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,MI-CDC-QDX44741046,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Michigan,MI,Homo sapiens,oronasopharynx,2022-12-15
OR298856,2023-07-20,AY.103,4.3.1/1.23.1/v0.1.12/0.3.19,,Mayo9582,Severe acute respiratory syndrome-related coronavirus,29815,complete,,USA,,Homo sapiens,,2021-08-03
OM787897,2022-02-23,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NM-CDC-LC0535505,Severe acute respiratory syndrome-related coronavirus,29686,complete,,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2022-02-08
ON308453,2022-04-21,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,PA-CDC-QDX35575563,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA: Pennsylvania,PA,Homo sapiens,oronasopharynx,2022-04-04
OM447361,2022-01-31,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-FG-243095,Severe acute respiratory syndrome-related coronavirus,29795,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2022-01-15
MZ252525,2021-05-20,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,NY-CDC-LC0057229,Severe acute respiratory syndrome-related coronavirus,29760,complete,,USA: New York,NY,Homo sapiens,oronasopharynx,2021-05-07
OP384951,2022-09-07,BA.5.1.5,4.3.1/1.23.1/v0.1.12/0.3.19,true,IL-CDC-LC0861243,Severe acute respiratory syndrome-related coronavirus,29720,complete,,USA: Illinois,IL,Homo sapiens,oronasopharynx,2022-08-21
MW583133,2021-02-09,B.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-STM-000002956,Severe acute respiratory syndrome-related coronavirus,29877,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-01-17
OP505323,2022-09-23,BA.5.1.3,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-STM-J8YXPW54Z,Severe acute respiratory syndrome-related coronavirus,29854,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-09-11
ON731387,2022-06-10,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,SC-CDC-QDX37254792,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA: South Carolina,SC,Homo sapiens,oronasopharynx,2022-05-22
MZ636019,2021-07-30,A.2.5,4.3.1/1.23.1/v0.1.12/0.3.19,,CA-CHLA-PLM65964198,Severe acute respiratory syndrome-related coronavirus,29894,complete,,"USA: California,Los Angeles County",CA,Homo sapiens,oronasopharynx,2021-03-10
OL932335,2021-12-20,AY.44,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-QDX31281968,Severe acute respiratory syndrome-related coronavirus,29769,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-11-20
OR219927,2023-06-30,CM.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDPH-FS48100873,Severe acute respiratory syndrome-related coronavirus,29765,complete,,USA,,Homo sapiens,,2022-10-17
OL843621,2021-12-14,AY.14,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDPH-3000275290,Severe acute respiratory syndrome-related coronavirus,29859,complete,,USA,,Homo sapiens,,2021-11-20
MZ216903,2021-05-17,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-QDX24365224,Severe acute respiratory syndrome-related coronavirus,29763,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2021-04-27
ON735921,2022-06-10,BA.5.5,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-QDX37298972,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2022-05-21
OQ316099,2023-01-24,B.1.595,4.3.1/1.23.1/v0.1.12/0.3.19,,MT-UMGC-05129,Severe acute respiratory syndrome-related coronavirus,29881,complete,,USA: Montana,MT,Homo sapiens,,2020-11-09
OM771205,2022-02-22,BA.1.17.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,MA-CDC-ASC210650821,Severe acute respiratory syndrome-related coronavirus,29793,complete,,USA: Massachusetts,MA,Homo sapiens,,2022-02-05
OQ242792,2023-01-12,BQ.1.1.13,4.3.1/1.23.1/v0.1.12/0.3.19,,FL-CDC-QDX44996233,Severe acute respiratory syndrome-related coronavirus,29715,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2022-12-23
OQ205070,2023-01-10,BA.5.2.1,4.3.1/1.23.1/v0.1.12/0.3.19,,CA-CDC-QDX44939982,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-12-23
OM185971,2022-01-09,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,,JW4213,Severe acute respiratory syndrome-related coronavirus,29798,complete,,USA: North Carolina,NC,Homo sapiens,,2021-12-28
OK039674,2021-09-07,AY.44,4.3.1/1.23.1/v0.1.12/0.3.19,,UT-UPHL-210820345137,Severe acute respiratory syndrome-related coronavirus,29793,complete,,USA,,Homo sapiens,,2021-08-03
OM503141,2022-02-03,AY.44,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDPH-2000055875,Severe acute respiratory syndrome-related coronavirus,29811,complete,,USA,,Homo sapiens,,2021-11-15
ON728878,2022-06-10,BA.2.9,4.3.1/1.23.1/v0.1.12/0.3.19,true,VA-CDC-LC0674162,Severe acute respiratory syndrome-related coronavirus,29598,complete,,USA: Virginia,VA,Homo sapiens,oronasopharynx,2022-05-27
OQ433360,2023-02-14,BQ.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-VSX-A073021,Severe acute respiratory syndrome-related coronavirus,29806,complete,,USA: California,CA,Homo sapiens,,2023-01-26
MZ455178,2021-06-28,B.1.526,4.3.1/1.23.1/v0.1.12/0.3.19,,MN-UMGC-3632,Severe acute respiratory syndrome-related coronavirus,29772,complete,,USA: Minnesota,MN,Homo sapiens,,2021-05-18
OQ584883,2023-03-07,XBB,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDPH-500084412,Severe acute respiratory syndrome-related coronavirus,29771,complete,,USA,,Homo sapiens,,2022-10-23
ON331371,2022-04-25,BA.2.3,4.3.1/1.23.1/v0.1.12/0.3.19,true,OH-CDC-QDX35735005,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA: Ohio,OH,Homo sapiens,oronasopharynx,2022-04-08
MW842378,2021-03-31,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-QDX22518479,Severe acute respiratory syndrome-related coronavirus,29763,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2021-02-26
OL917257,2021-12-20,AY.103,4.3.1/1.23.1/v0.1.12/0.3.19,true,MD-CDC-LC0406425,Severe acute respiratory syndrome-related coronavirus,29733,complete,,USA: Maryland,MD,Homo sapiens,oronasopharynx,2021-11-29
MZ415332,2021-06-21,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,,TX-HHD-210610KVI5390,Severe acute respiratory syndrome-related coronavirus,29800,complete,,USA,,Homo sapiens,,2021-05-25
ON853423,2022-06-27,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-STM-BFVQA7C4R,Severe acute respiratory syndrome-related coronavirus,29850,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2022-06-14
OP285186,2022-08-23,BA.5.2.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NJ-CDC-LC0831780,Severe acute respiratory syndrome-related coronavirus,29687,complete,,USA: New Jersey,NJ,Homo sapiens,oronasopharynx,2022-08-10
OL467789,2021-11-15,B.1,4.3.1/1.23.1/v0.1.12/0.3.19,,hCoV_19_USA_ID_IVREF_648412_2020,Severe acute respiratory syndrome-related coronavirus,29830,complete,,"USA: Bannock, ID",ID,Homo sapiens,,2020-08-26
OM291280,2022-01-18,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,WI-CDC-ASC210500147,Severe acute respiratory syndrome-related coronavirus,29799,complete,,USA: Wisconsin,WI,Homo sapiens,,2021-12-30
MZ448695,2021-06-25,B.1.110.3,4.3.1/1.23.1/v0.1.12/0.3.19,,NYI-NA-20-47,Severe acute respiratory syndrome-related coronavirus,29729,complete,,USA: New York,NY,Homo sapiens,,2020-10-31
OL856632,2021-12-15,B.1.617.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,NY-CDC-FG-188410,Severe acute respiratory syndrome-related coronavirus,29812,complete,,USA: New York,NY,Homo sapiens,,2021-12-01
ON399591,2022-05-03,XZ,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDPH-500055615,Severe acute respiratory syndrome-related coronavirus,29767,complete,,USA,,Homo sapiens,,2022-03-21
ON588679,2022-05-24,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,MI-CDC-LC0632907,Severe acute respiratory syndrome-related coronavirus,29727,complete,,USA: Michigan,MI,Homo sapiens,oronasopharynx,2022-05-08
ON926149,2022-07-05,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,VI-CDC-2-6051167,Severe acute respiratory syndrome-related coronavirus,29796,complete,,USA: VI,VI,Homo sapiens,oronasopharynx,2022-05-10
MT834059,2020-08-04,B.1.1.291,4.3.1/1.23.1/v0.1.12/0.3.19,,WA-S1631,Severe acute respiratory syndrome-related coronavirus,29868,complete,,"USA: Washington,Yakima County",WA,Homo sapiens,,2020-05-27
OM527566,2022-02-05,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NV-CDC-STM-WWGFRJ8UM,Severe acute respiratory syndrome-related coronavirus,29873,complete,,USA: Nevada,NV,Homo sapiens,oronasopharynx,2022-01-18
OQ063781,2022-12-16,BQ.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-STM-YFK3H2RF4,Severe acute respiratory syndrome-related coronavirus,29806,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-12-01
OQ196798,2023-01-09,BQ.1.14,4.3.1/1.23.1/v0.1.12/0.3.19,,MD-CDC-QDX44851254,Severe acute respiratory syndrome-related coronavirus,29715,complete,,USA: Maryland,MD,Homo sapiens,oronasopharynx,2022-12-18
OQ359604,2023-02-01,CH.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,SC-CDC-STM-F7299C9Y6,Severe acute respiratory syndrome-related coronavirus,29811,complete,,USA: South Carolina,SC,Homo sapiens,oronasopharynx,2023-01-16
OM459551,2022-01-31,BA.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,UT-UPHL-220121786441,Severe acute respiratory syndrome-related coronavirus,29789,complete,,USA,,Homo sapiens,,2022-01-14
OP387841,2022-09-07,BA.5.2.22,4.3.1/1.23.1/v0.1.12/0.3.19,true,VA-CDC-LC0856091,Severe acute respiratory syndrome-related coronavirus,29720,complete,,USA: Virginia,VA,Homo sapiens,oronasopharynx,2022-08-25
MW493910,2021-01-20,B.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,,WA-S3269,Severe acute respiratory syndrome-related coronavirus,29871,complete,,"USA: Washington,King County",WA,Homo sapiens,,2020-10-23
ON518026,2022-05-16,BA.1.15,4.3.1/1.23.1/v0.1.12/0.3.19,,TG1004378,Severe acute respiratory syndrome-related coronavirus,29795,complete,,"USA: Arizona, Navajo",AZ,Homo sapiens,,2022-01-14
OM413486,2022-01-27,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,MA-CDC-LC0480452,Severe acute respiratory syndrome-related coronavirus,29750,complete,,USA: Massachusetts,MA,Homo sapiens,oronasopharynx,2022-01-13
ON478087,2022-05-10,BA.1.18,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-BPHL-6446,Severe acute respiratory syndrome-related coronavirus,29684,complete,,USA: FL,FL,Homo sapiens,,2022-01-06
OM013496,2021-12-25,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-FG-197631,Severe acute respiratory syndrome-related coronavirus,29819,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2021-12-16
OQ097702,2022-12-21,BA.5.6,4.3.1/1.23.1/v0.1.12/0.3.19,,LA-EVTL16420,Severe acute respiratory syndrome-related coronavirus,29805,complete,,"USA: Louisiana, Caddo parish",LA,Homo sapiens,,2022-08-25
OM328414,2022-01-21,AY.25,4.3.1/1.23.1/v0.1.12/0.3.19,true,MP-CDC-2-5374647,Severe acute respiratory syndrome-related coronavirus,29836,complete,,USA: MP,MP,Homo sapiens,oronasopharynx,2021-11-23
OP449005,2022-09-16,BA.5.2.21,4.3.1/1.23.1/v0.1.12/0.3.19,true,MI-CDC-STM-7ZX9NF57M,Severe acute respiratory syndrome-related coronavirus,29844,complete,,USA: Michigan,MI,Homo sapiens,oronasopharynx,2022-09-01
OL926565,2021-12-20,AY.103,4.3.1/1.23.1/v0.1.12/0.3.19,true,AZ-CDC-ASC210430945,Severe acute respiratory syndrome-related coronavirus,29810,complete,,USA: Arizona,AZ,Homo sapiens,,2021-11-22
OM134441,2022-01-05,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,GA-CDC-ASC210637208,Severe acute respiratory syndrome-related coronavirus,29792,complete,,USA: Georgia,GA,Homo sapiens,,2021-12-21
OQ154773,2023-01-02,BA.4,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDPH-FS48102893,Severe acute respiratory syndrome-related coronavirus,29768,complete,,USA,,Homo sapiens,,2022-07-25
MW643735,2021-02-21,B.1.1.316,4.3.1/1.23.1/v0.1.12/0.3.19,true,AZ-CDC-LC0012546,Severe acute respiratory syndrome-related coronavirus,29714,complete,,USA: Arizona,AZ,Homo sapiens,oronasopharynx,2021-02-01
OP195563,2022-08-10,BF.8,4.3.1/1.23.1/v0.1.12/0.3.19,true,VA-CDC-QDX39366674,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Virginia,VA,Homo sapiens,oronasopharynx,2022-07-24
ON788667,2022-06-17,BA.2.9,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-LC0691263,Severe acute respiratory syndrome-related coronavirus,29548,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-05-27
ON477267,2022-05-10,AY.3,4.3.1/1.23.1/v0.1.12/0.3.19,,TG1222809,Severe acute respiratory syndrome-related coronavirus,29824,complete,,"USA: Arizona, Maricopa",AZ,Homo sapiens,,2021-12-16
OM336449,2022-01-21,BA.1.15,4.3.1/1.23.1/v0.1.12/0.3.19,true,IL-CDC-QDX32571638,Severe acute respiratory syndrome-related coronavirus,29752,complete,,USA: Illinois,IL,Homo sapiens,oronasopharynx,2021-12-30
OL777905,2021-12-09,AY.3,4.3.1/1.23.1/v0.1.12/0.3.19,true,OH-CDC-ASC210486844,Severe acute respiratory syndrome-related coronavirus,29816,complete,,USA: Ohio,OH,Homo sapiens,,2021-11-19
OP386037,2022-09-07,BA.5.2.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,RI-CDC-LC0854225,Severe acute respiratory syndrome-related coronavirus,29657,complete,,USA: Rhode Island,RI,Homo sapiens,oronasopharynx,2022-08-22
OM175729,2022-01-07,AY.103,4.3.1/1.23.1/v0.1.12/0.3.19,true,WI-CDC-LC0444155,Severe acute respiratory syndrome-related coronavirus,29767,complete,,USA: Wisconsin,WI,Homo sapiens,oronasopharynx,2021-12-22
OL774503,2021-12-09,AY.119,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-OC-FG-172858,Severe acute respiratory syndrome-related coronavirus,29812,complete,,"USA: Orange County, CA",CA,Homo sapiens,"saliva, oronasopharynx",2021-11-05
OP945045,2022-12-05,BA.5.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,PA-CDC-QDX43725889,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Pennsylvania,PA,Homo sapiens,oronasopharynx,2022-11-16
MW891325,2021-04-09,B.1.517,4.3.1/1.23.1/v0.1.12/0.3.19,true,MA-CDC-STM-000041050,Severe acute respiratory syndrome-related coronavirus,29830,complete,,USA: Massachusetts,MA,Homo sapiens,oronasopharynx,2021-03-20
MZ130997,2021-05-06,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,MN-CDC-ASC210069299,Severe acute respiratory syndrome-related coronavirus,29884,complete,,USA: Minnesota,MN,Homo sapiens,,2021-04-13
OM148468,2022-01-05,AY.103,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDPH-3000118025,Severe acute respiratory syndrome-related coronavirus,29861,complete,,USA,,Homo sapiens,,2021-07-07
OP646730,2022-10-15,BA.5.1.30,4.3.1/1.23.1/v0.1.12/0.3.19,true,WA-CDC-UW22092637349,Severe acute respiratory syndrome-related coronavirus,29669,complete,,USA: Washington,WA,Homo sapiens,oronasopharynx,2022-09-26
OM896060,2022-03-02,BA.1.15,4.3.1/1.23.1/v0.1.12/0.3.19,true,NM-UNM-ED01692,Severe acute respiratory syndrome-related coronavirus,29747,complete,,USA: New Mexico,NM,Homo sapiens,,2022-01-19
OL589103,2021-11-21,B.1,4.3.1/1.23.1/v0.1.12/0.3.19,,LA-BIE-CAT00303,Severe acute respiratory syndrome-related coronavirus,29765,complete,,"USA: Louisiana, Jefferson",LA,Homo sapiens,oronasopharynx,2020-07-12
OM843794,2022-02-27,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CO-CDC-QDX33832156,Severe acute respiratory syndrome-related coronavirus,29747,complete,,USA: Colorado,CO,Homo sapiens,oronasopharynx,2022-02-11
OM810975,2022-02-24,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,IN-CDC-QDX33752128,Severe acute respiratory syndrome-related coronavirus,29747,complete,,USA: Indiana,IN,Homo sapiens,oronasopharynx,2022-02-08
OQ113740,2022-12-23,BQ.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,MD-CDC-QDX44334016,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Maryland,MD,Homo sapiens,oronasopharynx,2022-12-04
ON194051,2022-12-30,B.1,4.3.1/1.23.1/v0.1.12/0.3.19,,NY-PV09361,Severe acute respiratory syndrome-related coronavirus,29712,complete,,USA,,Homo sapiens,oronasopharynx,2020-03-15
ON376200,2022-04-28,BA.1.20,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-LACPHL-AF08746,Severe acute respiratory syndrome-related coronavirus,29684,complete,,USA,,Homo sapiens,,2021-12-24
ON744375,2022-06-13,BA.5.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,IL-CDC-QDX37300641,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Illinois,IL,Homo sapiens,oronasopharynx,2022-05-23
ON735902,2022-06-10,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,OH-CDC-QDX37213115,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA: Ohio,OH,Homo sapiens,oronasopharynx,2022-05-21
OR619373,2023-10-02,XBB.2.3.3,4.3.1/1.23.1/v0.1.12/0.3.19,true,NJ-CDC-QDX85345139,Severe acute respiratory syndrome-related coronavirus,29721,complete,,USA: New Jersey,NJ,Homo sapiens,oronasopharynx,2023-09-19
ON270179,2022-04-19,BA.1.18,4.3.1/1.23.1/v0.1.12/0.3.19,true,OH-CDC-QDX35326781,Severe acute respiratory syndrome-related coronavirus,29747,complete,,USA: Ohio,OH,Homo sapiens,oronasopharynx,2022-03-28
OM694321,2022-02-16,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,MA-CDC-LC0522884,Severe acute respiratory syndrome-related coronavirus,29687,complete,,USA: Massachusetts,MA,Homo sapiens,oronasopharynx,2022-01-27
OM464304,2022-02-01,BA.1.20,4.3.1/1.23.1/v0.1.12/0.3.19,true,MN-CDC-STM-9XSNE753V,Severe acute respiratory syndrome-related coronavirus,29853,complete,,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2022-01-13
OM853825,2022-02-28,BA.1.1.18,4.3.1/1.23.1/v0.1.12/0.3.19,true,TN-CDC-ASC210555177,Severe acute respiratory syndrome-related coronavirus,29793,complete,,USA: Tennessee,TN,Homo sapiens,,2022-02-14
